,date,winner,loser,wrank,lrank,b365w,b365l,surface,winner_is_p1,odd_p1,odd_p2
7204,2004-06-14,Bjorkman J.,Qureshi A.,27,284,1.14,5.0,Grass,1,1.14,5.0
7205,2004-06-14,Spadea V.,Carraz G.,30,64,1.73,2.0,Grass,1,1.73,2.0
7206,2004-06-14,Ferreira W.,Martin A.,85,61,1.25,3.5,Grass,1,1.25,3.5
7207,2004-06-14,Arazi H.,Childs L.,35,262,1.44,2.63,Grass,1,1.44,2.63
7208,2004-06-14,Bogdanovic A.,Johansson J.,307,45,2.63,1.44,Grass,0,1.44,2.63
7209,2004-06-15,Marray J.,Arthurs W.,250,90,2.25,1.57,Grass,0,1.57,2.25
7210,2004-06-15,Rochus O.,Sargsian S.,71,48,2.0,1.73,Grass,0,1.73,2.0
7212,2004-06-15,Srichaphan P.,Elseneer G.,14,99,1.33,3.0,Grass,1,1.33,3.0
7213,2004-06-15,Saretta F.,Melzer J.,75,42,2.5,1.5,Grass,0,1.5,2.5
7214,2004-06-15,Johansson T.,Mirnyi M.,188,28,1.62,2.2,Grass,1,1.62,2.2
7215,2004-06-15,Rusedski G.,Kucera K.,110,76,1.67,2.1,Grass,1,1.67,2.1
7216,2004-06-15,Parmar A.,Malisse X.,163,50,4.0,1.2,Grass,0,1.2,4.0
7218,2004-06-16,Soderling R.,Bjorkman J.,44,27,2.38,1.53,Grass,0,1.53,2.38
7219,2004-06-16,Arazi H.,Gambill J.M.,35,89,2.1,1.67,Grass,0,1.67,2.1
7220,2004-06-16,Hanescu V.,Parmar A.,79,163,1.67,2.1,Grass,1,1.67,2.1
7221,2004-06-16,Rusedski G.,Spadea V.,110,30,1.5,2.5,Grass,1,1.5,2.5
7222,2004-06-16,Johansson T.,Rochus O.,188,71,1.4,2.75,Grass,1,1.4,2.75
7223,2004-06-16,Dent T.,Bogdanovic A.,31,307,1.29,3.5,Grass,1,1.29,3.5
7224,2004-06-16,Srichaphan P.,Ferreira W.,14,85,1.5,2.5,Grass,1,1.5,2.5
7225,2004-06-16,Saretta F.,Marray J.,75,250,2.1,1.67,Grass,0,1.67,2.1
7226,2004-06-17,Johansson T.,Rusedski G.,188,110,1.73,2.0,Grass,1,1.73,2.0
7227,2004-06-17,Soderling R.,Saretta F.,44,75,1.5,2.5,Grass,1,1.5,2.5
7228,2004-06-17,Srichaphan P.,Arazi H.,14,35,1.57,2.25,Grass,1,1.57,2.25
7229,2004-06-18,Dent T.,Hanescu V.,31,79,1.4,2.75,Grass,1,1.4,2.75
7230,2004-06-18,Srichaphan P.,Soderling R.,14,44,1.62,2.2,Grass,1,1.62,2.2
7231,2004-06-18,Johansson T.,Dent T.,188,31,1.83,1.83,Grass,0,1.83,1.83
7232,2004-06-19,Srichaphan P.,Johansson T.,14,188,1.833,1.833,Grass,1,1.833,1.833
7233,2004-06-21,Santoro F.,Martin A.,53,61,1.4,2.75,Grass,1,1.4,2.75
7234,2004-06-21,Ginepri R.,Tipsarevic J.,34,136,1.4,2.75,Grass,1,1.4,2.75
7235,2004-06-21,Verdasco F.,Weiner G.,40,141,1.333,3.25,Grass,1,1.333,3.25
7236,2004-06-21,Falla A.,Knowle J.,138,209,2.1,1.66,Grass,0,1.66,2.1
7237,2004-06-21,Koubek S.,Acasuso J.,95,97,1.333,3.25,Grass,1,1.333,3.25
7238,2004-06-21,Bjorkman J.,Sluiter R.,27,79,1.571,2.25,Grass,1,1.571,2.25
7239,2004-06-21,Johansson T.,Kiefer N.,123,33,1.667,2.1,Grass,1,1.667,2.1
7240,2004-06-21,Elseneer G.,Parmar A.,99,162,1.571,2.25,Grass,1,1.571,2.25
7241,2004-06-21,Karlovic I.,Srichaphan P.,62,14,2.5,1.5,Grass,0,1.5,2.5
7242,2004-06-21,Federer R.,Bogdanovic A.,1,295,1.015,12.0,Grass,1,1.015,12.0
7243,2004-06-21,Hewitt L.,Melzer J.,10,42,1.083,7.0,Grass,1,1.083,7.0
7244,2004-06-21,Ferrero J.C.,Boutter J.,5,488,1.167,4.5,Grass,1,1.167,4.5
7245,2004-06-21,Grosjean S.,Ascione T.,13,86,1.063,7.5,Grass,1,1.063,7.5
7246,2004-06-21,Bracciali D.,Hernych J.,218,118,2.75,1.4,Grass,0,1.4,2.75
7247,2004-06-21,Carraz G.,Rochus O.,69,74,2.25,1.571,Grass,0,1.571,2.25
7248,2004-06-21,Stepanek R.,Corretja A.,67,85,1.25,3.75,Grass,1,1.25,3.75
7249,2004-06-21,Ivanisevic G.,Youzhny M.,415,35,2.625,1.444,Grass,0,1.444,2.625
7250,2004-06-21,Volandri F.,Delgado J.,52,301,2.75,1.4,Grass,0,1.4,2.75
7251,2004-06-22,Ferreira W.,Ljubicic I.,82,29,1.909,1.8,Grass,0,1.8,1.909
7252,2004-06-22,Sargsian S.,Lopez M.,48,120,1.167,4.5,Grass,1,1.167,4.5
7253,2004-06-22,Lu Y.H.,Vacek J.,101,133,2.1,1.667,Grass,0,1.667,2.1
7254,2004-06-22,Johansson J.,Clement A.,43,47,2.75,1.4,Grass,0,1.4,2.75
7255,2004-06-22,Lopez F.,Bloomfield R.,22,529,1.063,8.0,Grass,1,1.063,8.0
7256,2004-06-22,Saulnier C.,Llodra M.,83,50,3.0,1.364,Grass,0,1.364,3.0
7257,2004-06-22,Kucera K.,Hernandez O.,76,88,1.083,7.0,Grass,1,1.083,7.0
7258,2004-06-22,Tursunov D.,Safin M.,70,15,6.0,1.111,Grass,0,1.111,6.0
7259,2004-06-22,Fish M.,Navarro-Pastor I.,20,228,1.08,7.0,Grass,1,1.08,7.0
7260,2004-06-22,Mayer F.,Arthurs W.,66,96,2.375,1.533,Grass,0,1.533,2.375
7261,2004-06-22,Henman T.,Ramirez-Hidalgo R.,6,89,1.01,13.0,Grass,1,1.01,13.0
7262,2004-06-22,Labadze I.,Vliegen K.,45,107,1.5,2.5,Grass,1,1.5,2.5
7263,2004-06-22,Gambill J.M.,Mirnyi M.,84,28,2.1,1.667,Grass,0,1.667,2.1
7264,2004-06-22,Philippoussis M.,Rochus C.,17,122,1.167,4.5,Grass,1,1.167,4.5
7265,2004-06-22,Peya A.,Salzenstein J.,128,109,1.667,2.1,Grass,1,1.667,2.1
7266,2004-06-22,Heuberger I.,Saretta F.,137,68,2.25,1.571,Grass,0,1.571,2.25
7267,2004-06-22,Malisse X.,Novak J.,51,16,2.5,1.5,Grass,0,1.5,2.5
7268,2004-06-22,Verkerk M.,Davydenko N.,56,59,1.364,3.0,Grass,1,1.364,3.0
7269,2004-06-22,Moya C.,Patience O.,7,93,1.333,3.25,Grass,1,1.333,3.25
7270,2004-06-22,Arazi H.,Sa A.,39,255,1.533,2.375,Grass,1,1.533,2.375
7271,2004-06-22,Montanes A.,Ulihrach B.,78,116,2.2,1.615,Grass,0,1.615,2.2
7272,2004-06-24,Enqvist T.,Blanco G.,57,102,1.111,6.0,Grass,1,1.111,6.0
7273,2004-06-24,Dent T.,Delgado R.,31,200,1.286,3.5,Grass,1,1.286,3.5
7274,2004-06-24,Spadea V.,Reid T.,30,134,1.615,2.2,Grass,1,1.615,2.2
7275,2004-06-24,Ferrer D.,Hanescu V.,49,75,3.5,1.286,Grass,0,1.286,3.5
7276,2004-06-24,Popp A.,Massu N.,90,12,1.571,2.25,Grass,1,1.571,2.25
7277,2004-06-24,Schuettler R.,Soderling R.,8,37,1.571,2.25,Grass,1,1.571,2.25
7278,2004-06-24,Haas T.,Dupuis A.,100,92,1.286,3.5,Grass,1,1.286,3.5
7279,2004-06-24,Robredo T.,Starace P.,19,131,1.16,4.5,Grass,1,1.16,4.5
7280,2004-06-24,Pescosolido S.,van Scheppingen D.,143,87,1.727,2.0,Grass,1,1.727,2.0
7281,2004-06-24,Schalken S.,Childs L.,23,251,1.125,5.5,Grass,1,1.125,5.5
7282,2004-06-24,Martin T.,Canas G.,72,73,1.571,2.25,Grass,1,1.571,2.25
7283,2004-06-24,Hilton M.,Costa A.,479,55,2.5,1.5,Grass,0,1.5,2.5
7284,2004-06-24,Hrbaty D.,Sanchez D.,25,54,1.5,2.5,Grass,1,1.5,2.5
7285,2004-06-24,Pavel A.,Ram A.,21,364,1.364,3.0,Grass,1,1.364,3.0
7286,2004-06-24,Carlsen K.,Gasquet R.,103,105,2.0,1.727,Grass,0,1.727,2.0
7287,2004-06-24,Beck K.,Marray J.,71,238,1.444,2.625,Grass,1,1.444,2.625
7288,2004-06-24,Benneteau J.,Berdych T.,80,65,1.533,2.375,Grass,1,1.533,2.375
7289,2004-06-24,Ancic M.,Horna L.,63,36,1.083,7.0,Grass,1,1.083,7.0
7290,2004-06-24,Gonzalez F.,Vassallo-Arguello M.,26,108,1.12,5.5,Grass,1,1.12,5.5
7291,2004-06-24,Mantilla F.,Pless K.,127,634,1.533,2.375,Grass,1,1.533,2.375
7292,2004-06-24,Roddick A.,Wang Y.T.,2,181,1.01,13.0,Grass,1,1.01,13.0
7293,2004-06-24,Chela J.I.,Burgsmuller L.,18,94,1.727,2.0,Grass,1,1.727,2.0
7294,2004-06-24,Coria G.,Moodie W.,3,106,1.5,2.5,Grass,1,1.5,2.5
7295,2004-06-24,Rusedski G.,Sanguinetti D.,165,112,1.2,4.333,Grass,1,1.2,4.333
7296,2004-06-24,Andreev I.,van Lottum J.,64,115,1.25,3.75,Grass,1,1.25,3.75
7297,2004-06-24,Johansson J.,Fish M.,43,20,2.5,1.5,Grass,0,1.5,2.5
7298,2004-06-24,Ferrero J.C.,Koubek S.,5,95,1.167,4.5,Grass,1,1.167,4.5
7299,2004-06-24,Lopez F.,Saulnier C.,22,83,1.5,2.5,Grass,1,1.5,2.5
7300,2004-06-24,Moya C.,Stepanek R.,7,67,1.533,2.375,Grass,1,1.533,2.375
7301,2004-06-24,Ginepri R.,Verdasco F.,34,40,1.833,1.833,Grass,1,1.833,1.833
7302,2004-06-24,Ivanisevic G.,Volandri F.,415,52,1.364,3.0,Grass,1,1.364,3.0
7303,2004-06-24,Hewitt L.,Labadze I.,10,45,1.071,7.5,Grass,1,1.071,7.5
7304,2004-06-24,Johansson T.,Santoro F.,123,53,1.3,3.4,Grass,1,1.3,3.4
7305,2004-06-24,Grosjean S.,Carraz G.,13,69,1.125,5.5,Grass,1,1.125,5.5
7306,2004-06-24,Federer R.,Falla A.,1,138,1.01,12.0,Grass,1,1.01,12.0
7307,2004-06-24,Tursunov D.,Sargsian S.,70,48,2.25,1.571,Grass,0,1.571,2.25
7308,2004-06-24,Gambill J.M.,Bracciali D.,84,218,1.28,3.5,Grass,1,1.28,3.5
7309,2004-06-24,Bjorkman J.,Lu Y.H.,27,101,1.286,3.5,Grass,1,1.286,3.5
7310,2004-06-25,Roddick A.,Peya A.,2,128,1.01,13.0,Grass,1,1.01,13.0
7311,2004-06-25,Ferreira W.,Kucera K.,82,76,2.0,1.727,Grass,0,1.727,2.0
7312,2004-06-25,Hrbaty D.,Hilton M.,25,479,1.364,3.0,Grass,1,1.364,3.0
7313,2004-06-25,Ancic M.,Benneteau J.,63,80,1.222,4.0,Grass,1,1.222,4.0
7314,2004-06-25,Dent T.,Pescosolido S.,31,143,1.111,6.0,Grass,1,1.111,6.0
7315,2004-06-25,Popp A.,Montanes A.,90,78,1.167,4.5,Grass,1,1.167,4.5
7316,2004-06-25,Carlsen K.,Pavel A.,103,21,3.0,1.364,Grass,0,1.364,3.0
7317,2004-06-25,Mayer F.,Coria G.,66,3,2.625,1.444,Grass,0,1.444,2.625
7318,2004-06-25,Henman T.,Heuberger I.,6,137,1.05,8.5,Grass,1,1.05,8.5
7319,2004-06-25,Malisse X.,Haas T.,51,100,1.909,1.8,Grass,0,1.8,1.909
7320,2004-06-25,Gonzalez F.,Andreev I.,26,64,2.5,1.5,Grass,0,1.5,2.5
7321,2004-06-25,Arazi H.,Ferrer D.,39,49,1.4,2.75,Grass,1,1.4,2.75
7322,2004-06-25,Philippoussis M.,Verkerk M.,17,56,1.364,3.0,Grass,1,1.364,3.0
7323,2004-06-25,Beck K.,Robredo T.,71,19,2.1,1.667,Grass,0,1.667,2.1
7324,2004-06-25,Enqvist T.,Chela J.I.,57,18,1.571,2.25,Grass,1,1.571,2.25
7325,2004-06-25,Spadea V.,Mantilla F.,30,127,1.4,2.75,Grass,1,1.4,2.75
7326,2004-06-25,Schalken S.,Martin T.,23,72,1.667,2.1,Grass,1,1.667,2.1
7327,2004-06-25,Karlovic I.,Elseneer G.,62,99,1.4,2.75,Grass,1,1.4,2.75
7328,2004-06-25,Schuettler R.,Rusedski G.,8,165,1.833,1.833,Grass,1,1.833,1.833
7329,2004-06-25,Moya C.,Tursunov D.,7,70,1.364,3.0,Grass,1,1.364,3.0
7330,2004-06-25,Grosjean S.,Gambill J.M.,13,84,1.25,3.75,Grass,1,1.25,3.75
7331,2004-06-25,Hewitt L.,Ivanisevic G.,10,415,1.167,4.5,Grass,1,1.167,4.5
7332,2004-06-25,Ginepri R.,Ferrero J.C.,34,5,1.8,1.909,Grass,1,1.8,1.909
7333,2004-06-27,Mayer F.,Ferreira W.,66,82,2.2,1.615,Grass,0,1.615,2.2
7334,2004-06-27,Johansson J.,Bjorkman J.,43,27,1.833,1.833,Grass,0,1.833,1.833
7335,2004-06-27,Karlovic I.,Lopez F.,62,22,1.8,1.909,Grass,1,1.8,1.909
7336,2004-06-27,Federer R.,Johansson T.,1,123,1.05,9.0,Grass,1,1.05,9.0
7337,2004-06-27,Ancic M.,Hrbaty D.,63,25,1.333,3.25,Grass,1,1.333,3.25
7338,2004-06-27,Schalken S.,Enqvist T.,23,57,1.4,2.75,Grass,1,1.4,2.75
7339,2004-06-27,Spadea V.,Schuettler R.,30,8,2.625,1.444,Grass,0,1.444,2.625
7340,2004-06-27,Malisse X.,Beck K.,51,71,1.5,2.5,Grass,1,1.5,2.5
7341,2004-06-27,Roddick A.,Dent T.,2,31,1.143,5.0,Grass,1,1.143,5.0
7342,2004-06-27,Philippoussis M.,Gonzalez F.,17,26,1.25,3.75,Grass,1,1.25,3.75
7343,2004-06-27,Popp A.,Carlsen K.,90,103,1.4,2.75,Grass,1,1.4,2.75
7344,2004-06-27,Henman T.,Arazi H.,6,39,1.125,5.5,Grass,1,1.125,5.5
7345,2004-06-28,Grosjean S.,Ginepri R.,13,34,1.364,3.0,Grass,1,1.364,3.0
7346,2004-06-28,Mayer F.,Johansson J.,66,43,2.375,1.533,Grass,0,1.533,2.375
7347,2004-06-28,Schalken S.,Spadea V.,23,30,1.571,2.25,Grass,1,1.571,2.25
7348,2004-06-28,Hewitt L.,Moya C.,10,7,1.3,3.4,Grass,1,1.3,3.4
7349,2004-06-28,Federer R.,Karlovic I.,1,62,1.05,9.0,Grass,1,1.05,9.0
7351,2004-06-28,Roddick A.,Popp A.,2,90,1.1,6.5,Grass,1,1.1,6.5
7352,2004-06-28,Henman T.,Philippoussis M.,6,17,1.667,2.1,Grass,1,1.667,2.1
7353,2004-06-30,Ancic M.,Henman T.,63,6,3.5,1.333,Grass,0,1.333,3.5
7354,2004-06-30,Roddick A.,Schalken S.,2,23,1.111,6.5,Grass,1,1.111,6.5
7355,2004-06-30,Federer R.,Hewitt L.,1,10,1.182,5.0,Grass,1,1.182,5.0
7356,2004-06-30,Grosjean S.,Mayer F.,13,66,1.25,4.0,Grass,1,1.25,4.0
7357,2004-07-02,Federer R.,Grosjean S.,1,13,1.1,7.0,Grass,1,1.1,7.0
7358,2004-07-02,Roddick A.,Ancic M.,2,63,1.25,4.0,Grass,1,1.25,4.0
7359,2004-07-04,Federer R.,Roddick A.,1,2,1.25,3.75,Grass,1,1.25,3.75
7360,2004-07-05,Monaco J.,Massu N.,110,13,2.25,1.57,Clay,0,1.57,2.25
7361,2004-07-05,Chela J.I.,Lopez M.,16,126,1.28,3.25,Clay,1,1.28,3.25
7365,2004-07-05,Verdasco M.,Johansson T.,53,97,1.33,3.0,Clay,1,1.33,3.0
7367,2004-07-05,Martin A.,Youzhny M.,65,41,1.833,1.833,Clay,0,1.833,1.833
7368,2004-07-06,Vliegen K.,di Pasquale A.,107,370,2.0,1.727,Clay,0,1.727,2.0
7370,2004-07-06,Volandri F.,Canas G.,51,70,1.727,2.0,Clay,1,1.727,2.0
7371,2004-07-06,Gaudio G.,Davydenko N.,11,61,1.4,2.75,Clay,1,1.4,2.75
7372,2004-07-06,Zabaleta M.,Johansson J.,31,32,1.364,2.875,Clay,1,1.364,2.875
7373,2004-07-06,Gonzalez F.,Horna L.,22,39,1.4,2.75,Clay,1,1.4,2.75
7375,2004-07-06,Ventura S.,Bjorkman J.,142,37,1.72,2.0,Clay,1,1.72,2.0
7376,2004-07-07,Monaco J.,Vliegen K.,110,107,1.571,2.25,Clay,1,1.571,2.25
7377,2004-07-07,Zabaleta M.,Labadze I.,31,42,1.4,2.75,Clay,1,1.4,2.75
7378,2004-07-07,Martin A.,Volandri F.,65,51,2.375,1.533,Clay,0,1.533,2.375
7379,2004-07-07,Gonzalez F.,Nieminen J.,22,69,1.333,3.25,Clay,1,1.333,3.25
7380,2004-07-08,Chela J.I.,Verdasco M.,16,53,1.571,2.25,Clay,1,1.571,2.25
7381,2004-07-08,Soderling R.,Robredo T.,48,19,3.5,1.286,Clay,0,1.286,3.5
7382,2004-07-08,Gaudio G.,Patience O.,11,89,1.143,5.0,Clay,1,1.143,5.0
7383,2004-07-08,Nadal R.,Ventura S.,60,142,1.44,2.62,Clay,1,1.44,2.62
7384,2004-07-09,Soderling R.,Chela J.I.,48,16,3.0,1.364,Clay,0,1.364,3.0
7385,2004-07-09,Gaudio G.,Nadal R.,11,60,1.533,2.375,Clay,1,1.533,2.375
7386,2004-07-09,Zabaleta M.,Martin A.,31,65,1.5,2.5,Clay,1,1.5,2.5
7387,2004-07-09,Gonzalez F.,Monaco J.,22,110,1.333,3.25,Clay,1,1.333,3.25
7388,2004-07-11,Gaudio G.,Soderling R.,11,48,1.286,3.5,Clay,1,1.286,3.5
7389,2004-07-11,Zabaleta M.,Gonzalez F.,31,22,2.2,1.615,Clay,0,1.615,2.2
7390,2004-07-12,Zabaleta M.,Gaudio G.,31,11,2.5,1.5,Clay,0,1.5,2.5
7391,2004-07-05,Hanescu V.,Burgsmuller L.,85,108,1.33,3.0,Clay,1,1.33,3.0
7392,2004-07-05,Novak J.,Acasuso J.,18,95,1.33,3.0,Clay,1,1.33,3.0
7393,2004-07-05,Costa A.,Ulihrach B.,55,120,1.2,4.0,Clay,1,1.2,4.0
7395,2004-07-05,Andreev I.,Seppi A.,62,173,1.444,2.625,Clay,1,1.444,2.625
7396,2004-07-05,Ramirez-Hidalgo R.,Wawrinka S.,101,146,1.8,1.909,Clay,1,1.8,1.909
7398,2004-07-05,Stepanek R.,Heuberger I.,72,125,1.25,3.5,Clay,1,1.25,3.5
7399,2004-07-06,Koubek S.,Ferrero J.C.,94,7,4.333,1.167,Clay,0,1.167,4.333
7400,2004-07-06,Ferrer D.,Berdych T.,47,67,1.571,2.25,Clay,1,1.571,2.25
7401,2004-07-06,Mantilla F.,Rochus C.,122,121,1.444,2.625,Clay,1,1.444,2.625
7402,2004-07-06,Schuettler R.,Kratochvil M.,8,162,1.286,3.25,Clay,1,1.286,3.25
7403,2004-07-06,Mayer F.,Portas A.,38,133,1.286,3.25,Clay,1,1.286,3.25
7404,2004-07-06,Rosset M.,Pavel A.,128,17,3.5,1.25,Clay,0,1.25,3.5
7405,2004-07-06,Karlovic I.,Hernandez O.,59,81,1.833,1.833,Clay,1,1.833,1.833
7406,2004-07-06,Federer R.,Behrend T.,1,130,1.071,7.5,Clay,1,1.071,7.5
7407,2004-07-07,Novak J.,Montanes A.,18,73,1.222,4.0,Clay,1,1.222,4.0
7408,2004-07-07,Starace P.,Hanescu V.,145,85,1.8,1.9,Clay,1,1.8,1.9
7409,2004-07-07,Ramirez-Hidalgo R.,Koubek S.,101,94,2.25,1.571,Clay,0,1.571,2.25
7410,2004-07-07,Andreev I.,Costa A.,62,55,2.2,1.615,Clay,0,1.615,2.2
7411,2004-07-08,Mantilla F.,Ferrer D.,122,47,2.0,1.727,Clay,0,1.727,2.0
7412,2004-07-08,Schuettler R.,Mayer F.,8,38,1.8,1.909,Clay,1,1.8,1.909
7413,2004-07-09,Federer R.,Karlovic I.,1,59,1.083,7.0,Clay,1,1.083,7.0
7414,2004-07-09,Stepanek R.,Rosset M.,72,128,1.333,3.25,Clay,1,1.333,3.25
7415,2004-07-09,Andreev I.,Ramirez-Hidalgo R.,62,101,1.5,2.5,Clay,1,1.5,2.5
7416,2004-07-09,Starace P.,Novak J.,145,18,3.25,1.33,Clay,0,1.33,3.25
7417,2004-07-09,Federer R.,Stepanek R.,1,72,1.083,7.0,Clay,1,1.083,7.0
7418,2004-07-09,Schuettler R.,Mantilla F.,8,122,1.615,2.2,Clay,1,1.615,2.2
7419,2004-07-10,Federer R.,Starace P.,1,145,1.08,7.0,Clay,1,1.08,7.0
7420,2004-07-10,Andreev I.,Schuettler R.,62,8,2.1,1.667,Clay,0,1.667,2.1
7421,2004-07-11,Federer R.,Andreev I.,1,62,1.1,6.5,Clay,1,1.1,6.5
7422,2004-07-06,Melzer J.,Hernych J.,46,114,1.444,2.625,Grass,1,1.444,2.625
7423,2004-07-06,Bogomolov A.,Levy H.,124,135,1.615,2.2,Grass,1,1.615,2.2
7424,2004-07-06,Mahut N.,Golmard J.,123,363,1.4,2.75,Grass,1,1.4,2.75
7425,2004-07-06,Blake J.,Norman D.,43,171,1.25,3.5,Grass,1,1.25,3.5
7426,2004-07-06,Popp A.,Delic A.,111,266,1.143,5.0,Grass,1,1.143,5.0
7427,2004-07-06,Dupuis A.,Vacek J.,96,136,1.667,2.1,Grass,1,1.667,2.1
7428,2004-07-06,Spadea V.,Salzenstein J.,25,109,1.167,4.5,Grass,1,1.167,4.5
7429,2004-07-06,Saulnier C.,Gimelstob J.,84,200,1.5,2.5,Grass,1,1.5,2.5
7430,2004-07-06,Morrison J.,Gambill J.M.,116,75,2.75,1.4,Grass,0,1.4,2.75
7431,2004-07-06,Rusedski G.,Carraz G.,166,71,1.444,2.625,Grass,1,1.444,2.625
7432,2004-07-06,Carlsen K.,Reid T.,88,134,1.667,2.1,Grass,1,1.667,2.1
7433,2004-07-07,Sanguinetti D.,Kendrick R.,112,149,1.533,2.375,Grass,1,1.533,2.375
7434,2004-07-07,Weiner G.,Peya A.,132,118,1.727,2.0,Grass,1,1.727,2.0
7435,2004-07-07,Elseneer G.,Ram R.,98,303,1.364,2.875,Grass,1,1.364,2.875
7436,2004-07-07,Vahaly B.,Mertinak M.,236,196,2.25,1.571,Grass,0,1.571,2.25
7437,2004-07-07,Baker B.,Moodie W.,276,137,3.5,1.25,Grass,0,1.25,3.5
7438,2004-07-08,Spadea V.,Vahaly B.,25,236,1.25,3.75,Grass,1,1.25,3.75
7439,2004-07-08,Melzer J.,Mahut N.,46,123,1.533,2.375,Grass,1,1.533,2.375
7440,2004-07-08,Saulnier C.,Elseneer G.,84,98,1.667,2.1,Grass,1,1.667,2.1
7441,2004-07-08,Bogomolov A.,Blake J.,124,43,3.5,1.286,Grass,0,1.286,3.5
7442,2004-07-08,Popp A.,Weiner G.,111,132,1.333,3.25,Grass,1,1.333,3.25
7443,2004-07-08,Dupuis A.,Sanguinetti D.,96,112,1.571,2.25,Grass,1,1.571,2.25
7444,2004-07-08,Rusedski G.,Carlsen K.,166,88,1.4,2.75,Grass,1,1.4,2.75
7445,2004-07-08,Morrison J.,Baker B.,116,276,1.4,2.75,Grass,1,1.4,2.75
7446,2004-07-09,Saulnier C.,Melzer J.,84,46,2.2,1.615,Grass,0,1.615,2.2
7447,2004-07-09,Popp A.,Spadea V.,111,25,1.727,2.0,Grass,1,1.727,2.0
7448,2004-07-09,Rusedski G.,Morrison J.,166,116,1.444,2.625,Grass,1,1.444,2.625
7449,2004-07-09,Dupuis A.,Bogomolov A.,96,124,1.615,2.2,Grass,1,1.615,2.2
7450,2004-07-10,Popp A.,Saulnier C.,111,84,1.533,2.375,Grass,1,1.533,2.375
7451,2004-07-10,Rusedski G.,Dupuis A.,166,96,1.4,2.75,Grass,1,1.4,2.75
7452,2004-07-11,Rusedski G.,Popp A.,166,111,2.0,1.72,Grass,0,1.72,2.0
7454,2004-07-12,Behrend T.,Montanes A.,131,71,2.2,1.615,Clay,0,1.615,2.2
7455,2004-07-12,Hernandez O.,Mutis O.,82,93,2.5,1.5,Clay,0,1.5,2.5
7456,2004-07-12,Rochus C.,Saretta F.,124,79,2.2,1.615,Clay,0,1.615,2.2
7457,2004-07-12,Portas A.,Rochus O.,139,100,2.5,1.5,Clay,0,1.5,2.5
7461,2004-07-13,van Scheppingen D.,Vanek J.,89,150,2.5,1.5,Clay,0,1.5,2.5
7462,2004-07-13,Massu N.,Vliegen K.,13,106,1.333,3.0,Clay,1,1.333,3.0
7463,2004-07-13,Garcia A.,Rosset M.,119,127,1.61,2.2,Clay,1,1.61,2.2
7464,2004-07-13,Lisnard J.R.,Wessels P.,145,155,2.1,1.667,Clay,0,1.667,2.1
7465,2004-07-13,Andreev I.,Ramirez-Hidalgo R.,48,96,1.3,3.2,Clay,1,1.3,3.2
7466,2004-07-13,Sluiter R.,Thomann N.,74,204,1.143,5.0,Clay,1,1.143,5.0
7468,2004-07-13,Gonzalez F.,Acasuso J.,21,95,1.2,4.0,Clay,1,1.2,4.0
7469,2004-07-14,Andreev I.,Rochus C.,48,124,1.25,3.75,Clay,1,1.25,3.75
7470,2004-07-14,Gonzalez F.,Hernandez O.,21,82,1.2,4.333,Clay,1,1.2,4.333
7471,2004-07-15,Massu N.,Sluiter R.,13,74,1.4,2.75,Clay,1,1.4,2.75
7472,2004-07-15,Behrend T.,Portas A.,131,139,1.615,2.2,Clay,1,1.615,2.2
7473,2004-07-15,van Scheppingen D.,Falla A.,89,118,3.0,1.36,Clay,0,1.36,3.0
7474,2004-07-15,Sanchez D.,Lisnard J.R.,61,145,1.364,3.0,Clay,1,1.364,3.0
7475,2004-07-15,Verkerk M.,Garcia A.,53,119,1.33,3.25,Clay,1,1.33,3.25
7476,2004-07-15,Martin A.,Luczak P.,62,165,1.222,4.0,Clay,1,1.222,4.0
7477,2004-07-16,Massu N.,Behrend T.,13,131,1.25,3.75,Clay,1,1.25,3.75
7478,2004-07-16,Verkerk M.,Sanchez D.,53,61,1.667,2.1,Clay,1,1.667,2.1
7479,2004-07-16,Gonzalez F.,Andreev I.,21,48,1.615,2.2,Clay,1,1.615,2.2
7480,2004-07-16,van Scheppingen D.,Martin A.,89,62,3.25,1.333,Clay,0,1.333,3.25
7481,2004-07-17,Verkerk M.,Massu N.,53,13,2.1,1.667,Clay,0,1.667,2.1
7482,2004-07-17,Gonzalez F.,van Scheppingen D.,21,89,1.25,3.75,Clay,1,1.25,3.75
7483,2004-07-18,Verkerk M.,Gonzalez F.,53,21,2.375,1.533,Clay,0,1.533,2.375
7484,2004-07-12,Carlsen K.,Arthurs W.,88,103,1.667,2.1,Hard,1,1.667,2.1
7487,2004-07-12,Weiner G.,Lee H.T.,128,78,2.5,1.5,Hard,0,1.5,2.5
7488,2004-07-13,Elseneer G.,Vahaly B.,97,233,1.667,2.1,Hard,1,1.667,2.1
7489,2004-07-13,Kiefer N.,Hrbaty D.,32,20,1.727,2.0,Hard,1,1.727,2.0
7490,2004-07-13,Rusedski G.,Dent T.,98,28,2.2,1.615,Hard,0,1.615,2.2
7491,2004-07-13,Hernych J.,Dupuis A.,116,83,2.1,1.667,Hard,0,1.667,2.1
7493,2004-07-13,Srichaphan P.,Ferreira W.,14,68,1.444,2.625,Hard,1,1.444,2.625
7494,2004-07-14,Fish M.,Vacek J.,18,141,1.143,5.0,Hard,1,1.143,5.0
7495,2004-07-14,Benneteau J.,Philippoussis M.,72,45,2.375,1.533,Hard,0,1.533,2.375
