,inverted_log_rank_p1,rank_diff_binned,log_odd_ratio,surface_Clay,surface_Hard,surface_Grass,h2h_binned,consecutive_wins_p1,consecutive_wins_p2,consecutive_losses_p1,consecutive_losses_p2,consecutive_results,rank_evol_p1_binned,rank_evol_p2_binned,rank_combined_binned,odd_p1,odd_p2
36891,0.209243389805969,0,1.7601930032602204,0,1,0,0,0.5,1,0,0.0,0,1,0,0,1.18,4.5
30120,0.2729584204093974,8,1.1514547700424898,0,0,1,0,0.5,1,1,0.5,1,1,1,7,1.72,2.0
4222,0.269282508064391,1,1.2667362676141112,0,1,0,0,0.5,1,1,0.0,0,0,0,1,1.533,2.375
18087,0.24044917348149392,12,1.2992829841302609,0,1,0,0,0.5,1,0,0.0,0,0,0,12,1.5,2.5
644,0.9102392266268373,3,2.0015529778181937,0,1,0,0,0.5,1,0,0.0,0,1,1,3,1.111,6.0
30976,0.23955611574701857,11,1.4914668891843443,0,1,0,0,0.5,1,1,1.0,1,0,0,12,1.33,3.25
35802,0.20544281918875867,12,1.2992829841302609,0,1,0,0,0.5,1,0,0.0,0,0,0,13,1.5,2.5
9806,0.32351545314867247,9,1.6636776813710972,1,0,0,0,1.0,1,1,0.0,1,0,0,9,1.22,4.0
17428,0.31066746727980593,10,1.2138616364551833,1,0,0,0,0.5,1,1,0.0,1,0,0,10,1.61,2.2
29812,0.3459762562611936,13,2.0612592225966457,1,0,0,0,1.0,1,1,0.0,1,0,0,13,1.11,6.5
23163,0.4170323914242463,3,1.2666713985415,0,1,0,0,0.5,0,1,0.0,0,0,0,3,1.53,2.37
16674,0.3898712452512801,2,1.1514547700424898,0,1,0,0,1.0,1,1,0.0,1,0,0,3,1.72,2.0
13875,0.32351545314867247,9,1.2992829841302609,1,0,0,0,0.5,1,1,0.0,1,0,0,9,1.5,2.5
12042,0.40242960438184466,2,1.3401049786505161,0,0,1,0,0.5,0,1,0.0,0,0,0,3,1.44,2.62
29090,0.20544281918875867,0,1.529395204760564,1,0,0,0,0.5,1,1,1.0,1,1,1,0,1.3,3.4
10660,0.2452460618098304,13,1.5548497221496973,0,1,0,0,0.5,1,1,0.0,0,0,0,13,1.28,3.5
2406,0.22449978268220952,13,1.339691899136912,0,0,1,0,0.5,1,0,0.0,0,1,1,13,1.444,2.625
21850,0.21959311237518594,1,1.406025942982486,0,0,1,0,0.5,1,0,0.0,0,0,1,1,1.38,2.87
9093,0.40242960438184466,7,1.2666713985415,0,0,1,0,0.5,1,0,0.0,0,1,0,8,1.53,2.37
37275,0.318928988903801,9,1.1349799328389845,1,0,0,0,0.5,1,1,0.0,1,0,0,9,1.8,2.0
38560,0.3396232718951086,4,1.4364841056437456,0,1,0,0,0.5,1,1,1.0,1,0,1,3,1.36,3.0
12140,0.19904931971422546,0,1.183278213083103,0,1,0,0,0.5,1,0,0.0,0,1,0,1,1.66,2.1
5436,0.35295612386476116,7,1.7246992527691893,0,1,0,0,0.5,1,1,0.5,1,0,0,8,1.2,4.333
24421,0.21233540443616755,0,1.183278213083103,0,1,0,1,0.5,1,1,0.0,0,0,0,0,1.66,2.1
5031,0.3284587387530511,8,1.1816499072354991,0,0,1,0,0.5,1,1,0.0,1,0,0,8,1.667,2.1
